Patente;Nro.;VTV;MOVIL;Marca;Modelo;Kilometraje 8/9/2025;Kilometraje 15/9/2025;Kilometraje 22/9/2025;Kilometraje 29/9/2025;Prom.Sem;AÑO;Usuario;Prox. Serv KM Aceite y filtros;OBSERVACIONES
AG059DG;;jun-26;81;Renault;Alaskan;145.711;146.835;147.735;;-48570;2023;3082;160.000;Se le hizo el servis de los 140.000 km el 17/07/25. Se le hizo el servis de los 120.000 km el 14/04/25. Se le realizo el servis de los 100.000 km el 12/02/25. Se le hizo el servis a los 80.000 km el dia 25/11/24. Se le hizo el servis a los 60.000 km el dia 25/6/24. Se le hizo el servis a los 40.000 km el dia 5/2/24. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 8/11/23
AG059DH;;jun-26;82;Renault;Alaskan;137.924;138.812;139.996;140.220;765;2023;3083;160.000;Se le realizo el servis de los 140.000 km el 29/09/25. Se le realizo el servis de los 120.000 km el 17/06/25. Se le realizo el servis de los 100.000 km el 20/02/25. Se le hizo el servis de los 80.000 el 7/10. Se le hizo el servis de los 60.000 el 28/2. Se le hizo servis de los 40.000 km el 06/12/23. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 9/10/23
AG059DJ;;jun-26;83;Renault;Alaskan;182.535;182.918;183.062;;-60845;2023;3084;200.000;Se le hizo el servis de los 180.000 km el 05/08/25. Se le hizo el servis de los 160.000 km el 01/01/25. Se le hizo el servis de los 140.000 km el 27/02/25. Se le hizo el servis de los 120.000 el 26/12/24. Se le hizo el servis de los 100.000 km el 24/10. Se le hizo el servis de los 80.000 km el 12/7/24. Se le hizo el servis de los 60.000 el 29/01. Se le hizo el servis de los 40.000 km el 6/12/23. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 6/10/23
AG126UB;;jul-26;84;Renault;Alaskan;108.522;109.740;110.994;;-36174;2023;3085;120.000;Se le hizo el servis de los 100.000 km el 18/08/25. Se le hizo el servis de los 80.000 km el 29/4/24. Se le hizo el servis de los 60.000 km el 27/2/24. Se le hizo el sevis de los 40.000 km el 16/11/23. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 26/9/23
AG126UC;;jul-26;85;Renault;Alaskan;;;;;0;2023;3086;80.000;VENDIDA
AG126UE;;jul-26;86;Renault;Alaskan;104.705;105.033;105.314;;-34902;2023;3087;120.000;Se le hizo el servis de los 100.000 km el 14/08/25. Se le hizo el servis de los 80.000 km el 07/04/25. se le hizo el servis de los 60.000 km el 15/7/24. Se le hizo servis a los 40.000 km el 07/03/24. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 15/11/23
AG196ZP;;ago-26;87;Renault;Alaskan;124.254;125.796;126.416;;-41418;2023;3088;120.000;Se le hizo servis de los 100.000 km el 27/06/25. Se le hizo servis de los 80.000 km el 17/02/25. Se le hizo servis de los 60.000 km el 27/11/24. se le hizo servis a los 40.000 km el 15/03/24. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 13/12/23
AG196ZQ;;ago-26;88;Renault;Alaskan;110.956;111.798;112.460;;-36985;2023;3089;120.000;Se le hizo servis a los 100.000 km. El 04/07/25. Se le hizo servis a los 80.000 km. El 06/03/25. se le hizo servis a los 60.000 km el 28/11/24. se le hizo servis a los 40.000 km el 01/03/24. Se le hizo servicio de cambio de filtro y aceite a los 20.000 km el 13/12/23
AG196ZR;;ago-26;89;Renault;Alaskan;76.120;;;;-25373;2023;3090;100.000;Se hizo el servos de los 80.000 km el 30/9/25. Se hizo el servos de los 60.000 km el 25/3. Se le hizo el servis a los 40.000 km el 16/01/24. Se le hizo servi a los 20.000 km el 27/11/23
AG196ZS;;sept-26;90;Renault;Alaskan;74.626;76.550;77.860;;-24875;2023;3091;80.000;Se le hizo el servis de los 60.000 km el 10/03/25. Se le hizo servis de los 40.000 km el 15/4/24. Se le hizo servicio a los 20.000 km el 19/1/24
AG278OX;;oct-26;91;Renault;Alaskan;116.163;116.521;116.694;;-38721;2023;3092;120.000;Se le hizo el servis de los 100.000 km el 08/07/25. Se le hizo el servis de los 80.000 km el 11/04/25. Se le hizo el servis de los 60.000 km el 21/01/25. Se le hizo servis de los 40.000 km el 29/10/24. Se le hizo servicio a los 20.000 km el 8/3/24
AG278OY;;oct-26;92;Renault;Alaskan;111.823;112.273;112.767;;-37274;2023;3093;120.000;Se le hizo el servis de los 100.000 el 30/06/25. Se le hizo el servis de los 80.000 el 29/11/24. Se le hizo el servis de los 60.000 el 22/8/24. Se le hizo servicio a los 40.000 km el 16/5/24. Se le hizo servicio a los 20.000 km el 9/2/24
AG278OZ;;oct-26;93;Renault;Alaskan;128.649;129.531;129.776;;-42883;2023;3094;140.000;Se le hizo el sevis de los 120.000 km el 20/08/25. Se le hizo el sevis de los 100.000 km el 6/06/25. Se le hizo el sevis de los 80.000 km el 26/03/25. Se le hizo el servis de los 60.000 km el 13/01/25. Se le hizo servis de los 40.000 km el 31/10/24. Se le hizo servicio a los 20.000 km el 29/2/24
AG315HB;;oct-26;94;Renault;Alaskan;138.076;138.410;138.716;140.000;641;2023;3095;160.000;Se le hizo el servis de lo 140.000 km el 01/10/25. Se le hizo el servis de lo 120.000 km el 28/07/25. Se le hizo el servis de lo 100.000 km el 27/05/25. Se le hizo el servis de lo 80.000 km el 04/04/25. Se le hizo el servis de los 60.000 km. El 03/02/25. Se le hizo el servis de los 40.000 km el 28/11/24. Se le hizo servicio a los 20.000 km el 1/07/24
AG315HD;;oct-26;95;Renault;Alaskan;111.638;112.185;112.528;;-37213;2023;3096;120.000;Se le hizo el servis de los 100.000 km. El 07/08/25. Se le hizo el servis de los 80.000 km. El 29/05/25. Se le hizo el servis de los 60.000 km. El 03/02/25. Se le hizo servicio a los 40.000 km el 2/12/24. Se le hizo servicio a los 20.000 km el 3/09/24
AG315HG;;oct-26;96;Renault;Alaskan;104.980;105.200;;;-34993;2023;3097;120.000;Se le hizo servis de los 100.000 km el 12/08/25. Se le hizo servis de los 80.000 km el 20/05/25. Se le hizo servis de los 60.000 km el 11/03/25. Se le hizo servicio a los 40.000 km el 23/12/24. Se le hizo servicio a los 20.000 km el 23/08/24
AG366YT;;nov-26;97;Renault;Alaskan;142.586;142.586;142.586;142.586;0;2023;3098;160.000;Se le hizo servis de 140.000 km el 30/06/25. Se le hizo servis de 120.000 km el 21/04/25. Se le hizo el servis de los 100.000 km el 10/02/25. Se le hizo el servis de los 80.000 km el 28/11/24. Se le hizo el servis de los 60.000 km el 18/10/24. Se le hizo el servis de los 40.000 km el 21/08/24. Se le hizo servicio a los 20.000 km el 24/06/24
AG366YU;;nov-26;98;Renault;Alaskan;125.570;126.065;126.490;;-41857;2023;3099;120.000;Se le hizo el servis de los 100.000 km el 24/07/25. Se le hizo el servis de los 80.000 km el 29/04/25 Se le hizo el servis de los 60.000 km el 25/11/24. Se le hizo el servis de los 40.000 km el 12/07/24. Se le hizo servicio a los 20.000 km el 9/04/24
AG445AI;;feb-27;99;Renault;Alaskan;137.076;138.074;138.398;;-45692;2024;3100;140.000;Se le hizo servis de los 120.000 km el 30/07/25. Se le hizo servis de los 100.000 km el 02/06/25, Se le hizo servis de los 80.000 km el 31/03/25. Se le hizo servis de los 60.000 km el 29/01/25. Se le hizo el servis de los 40.000 km el 11/12/24. Se le hizo servicio a los 20.000 km el 12/09/24
AG445AJ;;feb-27;100;Renault;Alaskan;72.086;72.726;73.149;;-24029;2024;3101;80.000;Se le hizo servis a las 60.000 km el 19/08/25. Se le hizo servis a las 40.000 km el 14/06/25. Se le hizo servis a las 20.000 km el 27/01/25
AG705QN;;;101;Renault;Alaskan;11.000;;;;-3667;2024;3102;20.000; 
AG705QM;;;102;Renault;Alaskan;19.401;21.920;22.370;;-6467;2024;3103;40.000;Se le hizo servis a las 20.000 km el 17/09/25
AG705QQ;;;103;Renault;Alaskan;29.964;30.384;30.817;;-9988;2024;3104;40.000;Se le hizo servis a las 20.000 km el 21/08/25
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;; ;;;;;;;;;
;;;;; ;;;;;;;;;
;;;;; ;;;;;;;;;
